interval | time
       2 | 56.897823
       3 | 54.505825
       4 | 53.58454
       5 | 52.89006
       6 | 52.519096
       7 | 51.928345
       8 | 51.778297
       9 | 51.568867
      10 | 51.17552
      11 | 50.803787
      12 | 50.79661
      13 | 50.991272
      14 | 50.890285
      15 | 50.815094
      16 | 51.154053
      17 | 50.890717
      18 | 51.11767
      19 | 50.704514
      20 | 50.62091
      21 | 52.35453
      22 | 51.503044
      23 | 50.582188
      24 | 50.275513
      25 | 50.514523
      26 | 50.00331
      27 | 49.944878
      28 | 50.204727
      29 | 49.406384
      30 | 49.785347
      31 | 49.785477
      32 | 49.978752
      33 | 50.227936
      34 | 49.474846
      35 | 49.87416
      36 | 49.839233
      37 | 50.12361
      38 | 50.902046
      39 | 50.165245
      40 | 50.033615
