reduction | count
        0 | 35
       13 | 4
        2 | 3
        5 | 3
       96 | 3
       40 | 2
       25 | 2
       17 | 2
        8 | 2
      113 | 2
       50 | 2
       73 | 2
       12 | 2
        4 | 2
      150 | 2
        1 | 1
       21 | 1
       72 | 1
        7 | 1
       71 | 1
       35 | 1
       54 | 1
       62 | 1
       45 | 1
       41 | 1
      125 | 1
        9 | 1
       22 | 1
      193 | 1
       61 | 1
       23 | 1
       68 | 1
       86 | 1
       44 | 1
      130 | 1
       51 | 1
       15 | 1
       33 | 1
       70 | 1
       64 | 1
       83 | 1
       32 | 1
       19 | 1
       11 | 1
       18 | 1
       27 | 1
      245 | 1
