reduction | count
        0 | 34
       13 | 3
        5 | 3
        2 | 3
       19 | 2
       44 | 2
        1 | 2
        8 | 2
       71 | 2
       80 | 2
       41 | 2
      127 | 2
       12 | 2
       30 | 1
      108 | 1
       26 | 1
       78 | 1
        4 | 1
       50 | 1
       15 | 1
      113 | 1
       72 | 1
       87 | 1
      139 | 1
      164 | 1
       21 | 1
       25 | 1
       51 | 1
        9 | 1
        7 | 1
       76 | 1
       40 | 1
      167 | 1
       22 | 1
       63 | 1
       69 | 1
      106 | 1
       11 | 1
       23 | 1
       17 | 1
       61 | 1
       35 | 1
      198 | 1
       32 | 1
       46 | 1
       10 | 1
      103 | 1
       27 | 1
      146 | 1
      249 | 1
       55 | 1
       20 | 1
