reduction | count
        0 | 34
        2 | 3
       13 | 3
        5 | 3
       71 | 2
       20 | 2
       12 | 2
       19 | 2
       41 | 2
       40 | 2
        1 | 2
        8 | 2
      127 | 2
       54 | 1
       32 | 1
       76 | 1
       51 | 1
      143 | 1
       22 | 1
      100 | 1
      198 | 1
        4 | 1
      165 | 1
       85 | 1
      139 | 1
       46 | 1
        7 | 1
       10 | 1
       62 | 1
      163 | 1
        9 | 1
       24 | 1
       29 | 1
       99 | 1
       80 | 1
       17 | 1
       44 | 1
      249 | 1
       23 | 1
       72 | 1
       78 | 1
       50 | 1
      113 | 1
       27 | 1
       61 | 1
       15 | 1
       98 | 1
       34 | 1
       11 | 1
       75 | 1
       26 | 1
       67 | 1
