reduction | count
        0 | 34
        5 | 4
       13 | 4
        2 | 3
        1 | 2
       19 | 2
       46 | 2
       12 | 2
      127 | 2
        9 | 2
       71 | 2
       80 | 2
       44 | 2
       55 | 1
       50 | 1
       78 | 1
       25 | 1
       22 | 1
       35 | 1
       72 | 1
       87 | 1
       20 | 1
       63 | 1
       27 | 1
        8 | 1
      105 | 1
      115 | 1
       15 | 1
       18 | 1
       40 | 1
       68 | 1
       30 | 1
        7 | 1
      139 | 1
       41 | 1
       32 | 1
      108 | 1
       51 | 1
       64 | 1
       10 | 1
      110 | 1
      167 | 1
       26 | 1
      185 | 1
       21 | 1
       76 | 1
       23 | 1
      249 | 1
      146 | 1
      198 | 1
